country,year,HS,log_gdp,social,life_exp,freedom,generosity,corruption,mental,schooling,alcohol,suicide,birth,obesity,continent
Norway,2019,7.442,11.061,0.942,73.3,0.954,0.111,0.271,8.242,12.6,3.33,1.409,1.678,8.08,EU
Pakistan,2019,4.443,8.453,0.617,58.9,0.685,0.124,0.776,3.488,5.2,1.042,0.641,3.454,7.12,AS
Palestine,2019,4.483,8.485,0.833,62.25,0.653,-0.163,0.829,8.847,9.1,0.308,1.004,3.56,15.38,AS
Panama,2019,6.086,10.356,0.886,69.7,0.883,-0.199,0.869,6.2,10.2,0.706,1.046,2.437,11.08,Nor.A
Paraguay,2019,5.653,9.448,0.892,65.9,0.876,0.028,0.882,7.387,8.4,4.119,1.199,2.405,13.19,SA
Peru,2019,5.999,9.461,0.809,68.4,0.815,-0.13,0.874,6.813,9.2,0.893,0.728,2.233,8.53,SA
Philippines,2019,6.268,9.095,0.845,62.0,0.91,-0.083,0.748,3.953,9.3,1.632,0.835,2.526,10.28,AS
Poland,2019,6.242,10.407,0.878,69.7,0.883,-0.231,0.696,4.324,12.3,8.269,1.719,1.435,14.02,EU
Portugal,2019,6.095,10.457,0.876,72.6,0.882,-0.234,0.915,7.099,9.2,1.637,1.194,1.303,9.47,EU
Romania,2019,6.13,10.306,0.842,67.5,0.848,-0.221,0.954,3.718,11.0,2.163,0.905,1.631,15.66,EU
Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.116,0.848,3.808,12.0,14.416,2.393,1.83,15.61,EU
Rwanda,2019,3.268,7.708,0.489,61.7,0.869,0.064,0.168,3.903,4.1,2.811,1.139,3.99,2.87,AF
Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.891,-0.147,0.445,9.344,9.5,0.364,1.142,2.275,18.39,AS
Senegal,2019,5.489,8.13,0.688,60.0,0.759,-0.019,0.796,3.401,3.0,1.611,1.269,4.556,5.08,AF
Serbia,2019,6.241,9.808,0.903,68.6,0.753,-0.04,0.813,4.021,11.1,2.85,1.295,1.447,15.0,EU
